uid,role,gender,pay_annual_USD
71,Leadership,male,"$40,000 - $59,999"
72,Designer,female,"$120,000 - $139,999"
73,Analyst,female,"$60,000 - $79,999"
74,Scientist,female,"$20,000 - $39,999"
75,Leadership,male,"$240,000 or more"
76,Designer,male,"$60,000 - $79,999"
77,Designer,male,"$240,000 or more"
78,Engineer,male,"$240,000 or more"
79,Analyst,male,"$80,000 - $99,999"
80,Analyst,female,"$60,000 - $79,999"
81,Analyst,female,"$120,000 - $139,999"
82,Analyst,male,"$60,000 - $79,999"
83,Developer,male,"$120,000 - $139,999"
84,Designer,female,"$80,000 - $99,999"
85,Other,female,"$120,000 - $139,999"
86,Engineer,female,"$60,000 - $79,999"
87,Other,female,"$80,000 - $99,999"
88,Engineer,male,"$100,000 - $119,999"
89,Leadership,female,"$60,000 - $79,999"
90,Analyst,female,"$60,000 - $79,999"
91,Leadership,male,"$140,000 - $159,999"
92,Teacher,male,"$100,000 - $119,999"
93,Analyst,male,"$120,000 - $139,999"
94,Scientist,male,"$80,000 - $99,999"
95,Scientist,male,"$180,000 - $199,999"
96,Leadership,female,"$60,000 - $79,999"
97,Developer,male,"$120,000 - $139,999"
98,Designer,male,"$80,000 - $99,999"
99,Leadership,female,"$120,000 - $139,999"
100,Analyst,female,"$80,000 - $99,999"
101,Other,female,"$60,000 - $79,999"
102,Other,male,"$120,000 - $139,999"
103,Analyst,female,"$80,000 - $99,999"
104,Teacher,male,"$120,000 - $139,999"
105,Scientist,male,"$240,000 or more"
106,Designer,female,"$80,000 - $99,999"
107,Designer,female,"$60,000 - $79,999"
108,Scientist,female,"$60,000 - $79,999"
109,Scientist,self-described,"$60,000 - $79,999"
110,Analyst,female,"$120,000 - $139,999"
111,Other,self-described,"$40,000 - $59,999"
112,Other,female,"$40,000 - $59,999"
113,Analyst,female,"$80,000 - $99,999"
114,Analyst,female,"$40,000 - $59,999"
115,Analyst,male,"$100,000 - $119,999"
116,Developer,male,"$100,000 - $119,999"
117,Developer,female,"$60,000 - $79,999"
118,Developer,male,"$100,000 - $119,999"
119,Analyst,female,"$120,000 - $139,999"
120,Leadership,male,"$100,000 - $119,999"
121,Analyst,male,"$100,000 - $119,999"
122,Designer,male,"$120,000 - $139,999"
123,Analyst,male,"$120,000 - $139,999"
124,Designer,male,"$60,000 - $79,999"
125,Leadership,male,"$100,000 - $119,999"
126,Developer,male,"$120,000 - $139,999"
127,Designer,female,"$100,000 - $119,999"
128,Engineer,male,"$140,000 - $159,999"
129,Analyst,male,"$100,000 - $119,999"
130,Analyst,male,"$80,000 - $99,999"
131,Designer,female,"$160,000 - $179,999"
132,Analyst,female,"$100,000 - $119,999"
133,Analyst,female,"$120,000 - $139,999"
134,Developer,male,"$100,000 - $119,999"
135,Analyst,male,"$80,000 - $99,999"
136,Journalist,female,"$80,000 - $99,999"
137,Leadership,male,"$120,000 - $139,999"
138,,female,"$20,000 - $39,999"
139,Leadership,female,"$120,000 - $139,999"
140,Analyst,female,"$60,000 - $79,999"
141,Analyst,male,"$80,000 - $99,999"
142,Designer,female,"$80,000 - $99,999"
143,Developer,female,"$80,000 - $99,999"
144,Analyst,male,"$80,000 - $99,999"
145,Leadership,female,"$60,000 - $79,999"
146,Scientist,female,"$60,000 - $79,999"
147,Analyst,male,"$80,000 - $99,999"
148,Analyst,female,"$80,000 - $99,999"
149,Designer,female,"$60,000 - $79,999"
150,Developer,female,"$60,000 - $79,999"
151,Leadership,female,"$100,000 - $119,999"
152,Analyst,female,"$40,000 - $59,999"
153,Analyst,female,"$80,000 - $99,999"
154,Leadership,female,"$140,000 - $159,999"
155,Leadership,male,"$220,000 - $239,999"
156,Developer,male,"$120,000 - $139,999"
157,Other,female,"$100,000 - $119,999"
158,Leadership,female,"$100,000 - $119,999"
159,Other,female,"$120,000 - $139,999"
160,Leadership,female,"$100,000 - $119,999"
161,Analyst,female,"$80,000 - $99,999"
162,Developer,female,"$80,000 - $99,999"
163,Designer,female,"$60,000 - $79,999"
164,Analyst,male,"$120,000 - $139,999"
165,Analyst,female,"$80,000 - $99,999"
166,Designer,female,"$100,000 - $119,999"
167,Analyst,male,"$80,000 - $99,999"
168,Analyst,female,"$40,000 - $59,999"
169,Developer,male,"$60,000 - $79,999"
170,Designer,female,"$120,000 - $139,999"
171,Analyst,prefer not to say,"$60,000 - $79,999"
172,Analyst,female,"$60,000 - $79,999"
173,Designer,female,"$60,000 - $79,999"
174,Analyst,female,"$60,000 - $79,999"
175,Analyst,female,"$60,000 - $79,999"
176,Leadership,female,"$140,000 - $159,999"
177,Analyst,female,"$40,000 - $59,999"
178,Analyst,male,"$120,000 - $139,999"
179,Analyst,female,"$80,000 - $99,999"
180,Analyst,prefer not to say,"$80,000 - $99,999"
181,Engineer,female,"$120,000 - $139,999"
182,Analyst,female,"$80,000 - $99,999"
183,Journalist,female,"$60,000 - $79,999"
184,Analyst,female,"$40,000 - $59,999"
185,Analyst,female,"$60,000 - $79,999"
186,,female,"$60,000 - $79,999"
187,Leadership,male,"$240,000 or more"
188,,female,"$40,000 - $59,999"
189,Leadership,male,"$140,000 - $159,999"
190,Developer,male,"$180,000 - $199,999"
191,Leadership,female,"$60,000 - $79,999"
192,Engineer,male,"$240,000 or more"
193,Leadership,male,"$180,000 - $199,999"
194,Leadership,female,"$80,000 - $99,999"
195,Teacher,prefer not to say,"$80,000 - $99,999"
196,Leadership,male,"$100,000 - $119,999"
197,Engineer,female,"$160,000 - $179,999"
198,Developer,female,"$100,000 - $119,999"
199,,female,"$60,000 - $79,999"
200,Designer,female,"$100,000 - $119,999"
201,Leadership,male,"$60,000 - $79,999"
202,Analyst,male,"$40,000 - $59,999"
203,Engineer,male,"$180,000 - $199,999"
204,Analyst,female,"$60,000 - $79,999"
205,,male,"$60,000 - $79,999"
206,Leadership,male,"$100,000 - $119,999"
207,Engineer,male,"$140,000 - $159,999"
208,Leadership,male,"$60,000 - $79,999"
209,Leadership,female,"$160,000 - $179,999"
210,Analyst,male,"$80,000 - $99,999"
211,Analyst,male,"$60,000 - $79,999"
212,Designer,male,"$80,000 - $99,999"
213,Designer,male,"$100,000 - $119,999"
214,Designer,female,"$120,000 - $139,999"
215,Leadership,female,"$100,000 - $119,999"
216,Analyst,male,"$100,000 - $119,999"
217,Engineer,male,"$160,000 - $179,999"
218,Analyst,male,"$100,000 - $119,999"
219,Leadership,female,"$100,000 - $119,999"
220,Leadership,male,"$100,000 - $119,999"
221,Developer,female,"$60,000 - $79,999"
222,Other,male,"$140,000 - $159,999"
223,Scientist,male,"$80,000 - $99,999"
224,Analyst,female,"$80,000 - $99,999"
225,Designer,female,"$180,000 - $199,999"
226,Analyst,female,"$40,000 - $59,999"
227,Analyst,female,"$60,000 - $79,999"
228,Designer,female,"$120,000 - $139,999"
229,Leadership,male,"$10,000 - $19,999"
230,Analyst,female,"$80,000 - $99,999"
231,Designer,female,"$80,000 - $99,999"
232,Journalist,female,"$60,000 - $79,999"
233,Analyst,female,"$80,000 - $99,999"
234,Developer,male,"$80,000 - $99,999"
235,Scientist,male,"$120,000 - $139,999"
236,Analyst,female,"$140,000 - $159,999"
237,Leadership,female,"$60,000 - $79,999"
238,Analyst,male,"$100,000 - $119,999"
239,Leadership,male,"$160,000 - $179,999"
240,Other,female,"$80,000 - $99,999"
241,Other,female,"$60,000 - $79,999"
242,Analyst,female,"$40,000 - $59,999"
243,Analyst,self-described,"$40,000 - $59,999"
244,Analyst,female,"$60,000 - $79,999"
245,Analyst,female,"$80,000 - $99,999"
246,Teacher,female,"$80,000 - $99,999"
247,Scientist,female,"$80,000 - $99,999"
248,Analyst,male,"$80,000 - $99,999"
249,Journalist,male,"$100,000 - $119,999"
250,Leadership,female,"$60,000 - $79,999"
251,Engineer,female,"$100,000 - $119,999"
252,Analyst,male,"$80,000 - $99,999"
253,Engineer,female,"$120,000 - $139,999"
254,Leadership,male,"$80,000 - $99,999"
255,Leadership,male,"$120,000 - $139,999"
256,Developer,female,"$120,000 - $139,999"
257,Engineer,male,"$120,000 - $139,999"
258,Developer,female,"$100,000 - $119,999"
259,Developer,female,"$60,000 - $79,999"
260,Analyst,female,"$140,000 - $159,999"
261,Analyst,male,"$100,000 - $119,999"
262,Analyst,female,"$80,000 - $99,999"
263,Analyst,female,"$40,000 - $59,999"
264,Leadership,male,"$180,000 - $199,999"
265,Leadership,male,"$160,000 - $179,999"
266,Engineer,male,"$100,000 - $119,999"
267,Analyst,male,"$100,000 - $119,999"
268,Other,male,"$80,000 - $99,999"
269,Designer,female,"$160,000 - $179,999"
270,Analyst,female,"$60,000 - $79,999"
271,Developer,female,"$100,000 - $119,999"
272,Engineer,male,"$100,000 - $119,999"
273,Engineer,male,"$60,000 - $79,999"
274,Journalist,male,"$120,000 - $139,999"
275,Analyst,female,"$80,000 - $99,999"
276,Scientist,female,"$140,000 - $159,999"
277,Analyst,female,"$10,000 - $19,999"
278,,female,"$120,000 - $139,999"
279,Journalist,male,"$100,000 - $119,999"
280,Leadership,male,"$80,000 - $99,999"
281,Analyst,female,"$100,000 - $119,999"
282,Leadership,male,"$160,000 - $179,999"
283,Analyst,male,"$60,000 - $79,999"
284,Analyst,male,"$60,000 - $79,999"
285,Leadership,female,"$180,000 - $199,999"
286,Analyst,female,"$80,000 - $99,999"
287,Analyst,female,"$80,000 - $99,999"
288,Analyst,female,"$80,000 - $99,999"
289,Analyst,female,"$80,000 - $99,999"
290,Analyst,male,"$40,000 - $59,999"
291,Analyst,female,"$60,000 - $79,999"
292,Other,self-described,"$40,000 - $59,999"
293,Developer,male,"$120,000 - $139,999"
294,Designer,female,"$100,000 - $119,999"
295,Analyst,male,"$60,000 - $79,999"
296,Analyst,female,"$80,000 - $99,999"
297,Analyst,male,"$120,000 - $139,999"
298,Scientist,female,"$60,000 - $79,999"
299,Engineer,male,"$140,000 - $159,999"
300,Leadership,male,"$180,000 - $199,999"
301,Analyst,male,"$140,000 - $159,999"
302,Leadership,male,"$240,000 or more"
303,Cartographer,male,"$60,000 - $79,999"
304,Analyst,female,"$80,000 - $99,999"
305,Engineer,female,"$80,000 - $99,999"
306,Designer,male,"$40,000 - $59,999"
307,Analyst,male,"$60,000 - $79,999"
308,Scientist,male,"$60,000 - $79,999"
309,Analyst,female,"$60,000 - $79,999"
310,Designer,male,"$100,000 - $119,999"
311,Analyst,male,"$60,000 - $79,999"
312,Analyst,female,"$80,000 - $99,999"
313,Analyst,female,"$60,000 - $79,999"
314,Leadership,female,"$80,000 - $99,999"
315,Other,female,"$40,000 - $59,999"
316,Analyst,female,"$100,000 - $119,999"
317,Leadership,female,"$120,000 - $139,999"
318,Scientist,female,"$80,000 - $99,999"
319,Developer,female,"$80,000 - $99,999"
320,Leadership,male,"$120,000 - $139,999"
321,Scientist,female,"$160,000 - $179,999"
322,Leadership,female,"$80,000 - $99,999"
323,Cartographer,female,"$40,000 - $59,999"
324,Analyst,female,"$60,000 - $79,999"
325,Analyst,female,"$60,000 - $79,999"
326,Leadership,female,"$60,000 - $79,999"
327,Engineer,female,"$140,000 - $159,999"
328,Leadership,male,"$200,000 - $219,999"
329,Analyst,female,"$80,000 - $99,999"
330,Analyst,female,"$40,000 - $59,999"
331,Engineer,male,"$120,000 - $139,999"
332,Leadership,male,"$60,000 - $79,999"
333,Analyst,male,"$40,000 - $59,999"
334,Analyst,male,"$120,000 - $139,999"
335,Analyst,female,"$80,000 - $99,999"
336,Leadership,male,"$120,000 - $139,999"
337,Other,female,"$60,000 - $79,999"
338,Leadership,male,"$200,000 - $219,999"
339,Designer,male,"$120,000 - $139,999"
340,Analyst,male,"$100,000 - $119,999"
341,Analyst,female,"$80,000 - $99,999"
342,Analyst,female,"$60,000 - $79,999"
343,Leadership,female,"$180,000 - $199,999"
344,Designer,male,"$100,000 - $119,999"
345,Analyst,female,"$40,000 - $59,999"
346,Designer,male,"$140,000 - $159,999"
347,Developer,female,"$100,000 - $119,999"
348,Analyst,male,"$60,000 - $79,999"
349,Analyst,female,"$80,000 - $99,999"
350,Analyst,male,"$40,000 - $59,999"
351,Designer,male,"$120,000 - $139,999"
352,Engineer,male,"$140,000 - $159,999"
353,Developer,male,"$60,000 - $79,999"
354,Developer,male,"$60,000 - $79,999"
355,Scientist,male,"$160,000 - $179,999"
356,Leadership,male,"$160,000 - $179,999"
357,,female,"$20,000 - $39,999"
358,Leadership,male,"$140,000 - $159,999"
359,Analyst,female,"$180,000 - $199,999"
360,Developer,male,"$140,000 - $159,999"
361,Leadership,male,"$140,000 - $159,999"
362,Analyst,female,"$100,000 - $119,999"
363,Engineer,male,"$140,000 - $159,999"
364,Analyst,female,"$40,000 - $59,999"
365,Developer,female,"$100,000 - $119,999"
366,Teacher,female,"$160,000 - $179,999"
367,Designer,male,"$240,000 or more"
368,Leadership,female,"$100,000 - $119,999"
369,Analyst,female,"$100,000 - $119,999"
370,Analyst,female,"$60,000 - $79,999"
371,Designer,male,"$80,000 - $99,999"
372,Leadership,male,"$140,000 - $159,999"
373,Analyst,male,"$60,000 - $79,999"
374,Leadership,male,"$60,000 - $79,999"
375,Developer,male,"$180,000 - $199,999"
376,Analyst,male,"$100,000 - $119,999"
377,Analyst,male,"$140,000 - $159,999"
378,Developer,male,"$140,000 - $159,999"
379,Scientist,female,"$100,000 - $119,999"
380,Analyst,female,"$80,000 - $99,999"
381,Leadership,male,"$240,000 or more"
382,Scientist,male,"$80,000 - $99,999"
383,Analyst,male,"$100,000 - $119,999"
384,Leadership,female,"$140,000 - $159,999"
385,Analyst,female,"$60,000 - $79,999"
386,Leadership,male,"$220,000 - $239,999"
387,Engineer,male,"$240,000 or more"
388,Analyst,female,"$60,000 - $79,999"
389,Developer,male,"$100,000 - $119,999"
390,Designer,male,"$160,000 - $179,999"
391,Designer,male,"$180,000 - $199,999"
392,Analyst,male,"$120,000 - $139,999"
393,Leadership,male,"$240,000 or more"
394,Developer,female,"$240,000 or more"
395,Scientist,female,"$80,000 - $99,999"
396,Analyst,female,"$80,000 - $99,999"
397,Leadership,male,"$120,000 - $139,999"
398,Designer,male,"$240,000 or more"
399,Leadership,male,"$240,000 or more"
400,Scientist,male,"$100,000 - $119,999"
401,Scientist,male,"$120,000 - $139,999"
402,Leadership,male,"$180,000 - $199,999"
403,Analyst,female,"$80,000 - $99,999"
404,Scientist,male,"$100,000 - $119,999"
405,Analyst,female,"$100,000 - $119,999"
406,Analyst,male,"$60,000 - $79,999"
407,,male,"$120,000 - $139,999"
408,Analyst,female,"$80,000 - $99,999"
409,Scientist,female,"$140,000 - $159,999"
410,Developer,female,"$140,000 - $159,999"
411,Analyst,female,"$60,000 - $79,999"
412,Leadership,male,"$180,000 - $199,999"
413,Leadership,female,"$100,000 - $119,999"
414,Designer,male,"$120,000 - $139,999"
415,,female,"$160,000 - $179,999"
416,Leadership,male,"$220,000 - $239,999"
417,Developer,male,"$180,000 - $199,999"
418,Designer,female,"$120,000 - $139,999"
419,Leadership,female,"$100,000 - $119,999"
420,Analyst,female,"$40,000 - $59,999"
421,Analyst,male,"$100,000 - $119,999"
422,Leadership,male,"$160,000 - $179,999"
423,,male,"$10,000 - $19,999"
424,Developer,male,"$80,000 - $99,999"
425,,male,"$20,000 - $39,999"
426,,female,"$100,000 - $119,999"
427,Journalist,female,"$60,000 - $79,999"
428,Designer,female,"$60,000 - $79,999"
429,Leadership,female,"$60,000 - $79,999"
430,Analyst,female,"$80,000 - $99,999"
431,Analyst,male,"$40,000 - $59,999"
432,Scientist,female,"$120,000 - $139,999"
433,Analyst,female,"$80,000 - $99,999"
434,Teacher,female,"$80,000 - $99,999"
435,Designer,female,"$40,000 - $59,999"
436,Analyst,female,"$20,000 - $39,999"
437,Analyst,male,"$80,000 - $99,999"
438,Developer,female,"$80,000 - $99,999"
439,Designer,female,"$40,000 - $59,999"
440,Analyst,female,"$100,000 - $119,999"
441,Other,female,"$80,000 - $99,999"
442,Scientist,male,"$40,000 - $59,999"
443,Analyst,male,"$80,000 - $99,999"
444,Analyst,female,"$60,000 - $79,999"
445,Analyst,female,"$100,000 - $119,999"
446,Analyst,female,"$60,000 - $79,999"
447,Leadership,male,"$160,000 - $179,999"
448,Leadership,female,"$100,000 - $119,999"
449,Analyst,female,"$80,000 - $99,999"
450,Analyst,female,"$80,000 - $99,999"
451,Analyst,female,"$60,000 - $79,999"
452,Analyst,female,"$60,000 - $79,999"
453,Analyst,male,"$100,000 - $119,999"
454,Leadership,female,"$100,000 - $119,999"
455,Developer,female,"$80,000 - $99,999"
456,Other,male,"$60,000 - $79,999"
457,Leadership,female,"$100,000 - $119,999"
458,Analyst,female,"$80,000 - $99,999"
459,Analyst,female,"$40,000 - $59,999"
460,Analyst,male,"$80,000 - $99,999"
461,Other,prefer not to say,"$80,000 - $99,999"
462,Analyst,female,"$80,000 - $99,999"
463,Analyst,male,"$100,000 - $119,999"
464,Analyst,female,"$60,000 - $79,999"
465,Analyst,female,"$80,000 - $99,999"
466,Analyst,female,"$80,000 - $99,999"
467,Analyst,male,"$80,000 - $99,999"
468,Analyst,female,"$120,000 - $139,999"
469,Leadership,male,"$180,000 - $199,999"
470,Analyst,female,"$120,000 - $139,999"
471,Analyst,female,"$40,000 - $59,999"
472,Scientist,female,"$60,000 - $79,999"
473,Leadership,female,"$160,000 - $179,999"
474,Analyst,female,"$60,000 - $79,999"
475,Leadership,male,"$100,000 - $119,999"
476,Analyst,male,"$140,000 - $159,999"
477,Leadership,female,"$80,000 - $99,999"
478,Scientist,male,"$120,000 - $139,999"
479,Engineer,female,"$180,000 - $199,999"
480,Engineer,male,"$240,000 or more"
481,Developer,male,"$60,000 - $79,999"
482,Leadership,male,"$140,000 - $159,999"
483,Leadership,male,"$120,000 - $139,999"
484,Developer,male,"$60,000 - $79,999"
485,Leadership,male,"$100,000 - $119,999"
486,Analyst,male,"$60,000 - $79,999"
487,Scientist,male,"$120,000 - $139,999"
488,Leadership,male,"$120,000 - $139,999"
489,Designer,female,"$80,000 - $99,999"
490,Analyst,male,"$100,000 - $119,999"
491,Scientist,female,"$60,000 - $79,999"
492,Other,male,"$100,000 - $119,999"
493,Engineer,male,"$240,000 or more"
494,,female,"$10,000 - $19,999"
495,Leadership,female,"$100,000 - $119,999"
496,Analyst,female,"$80,000 - $99,999"
497,Analyst,female,"$100,000 - $119,999"
498,Analyst,male,"$80,000 - $99,999"
499,Leadership,male,"$140,000 - $159,999"
500,Analyst,female,"$100,000 - $119,999"
501,Leadership,male,"$120,000 - $139,999"
502,Analyst,male,"$60,000 - $79,999"
503,Analyst,female,"$120,000 - $139,999"
504,Analyst,male,"$60,000 - $79,999"
505,Analyst,female,"$120,000 - $139,999"
506,Analyst,male,"$60,000 - $79,999"
507,Leadership,female,"$140,000 - $159,999"
508,Analyst,female,"$100,000 - $119,999"
509,Leadership,male,"$120,000 - $139,999"
510,Leadership,male,"$120,000 - $139,999"
511,Other,male,"$240,000 or more"
512,Analyst,male,"$160,000 - $179,999"
513,Analyst,female,"$100,000 - $119,999"
514,Engineer,male,"$240,000 or more"
515,Leadership,female,"$220,000 - $239,999"
516,Leadership,male,"$200,000 - $219,999"
517,Developer,female,"$140,000 - $159,999"
518,Scientist,male,"$100,000 - $119,999"
519,Analyst,male,"$40,000 - $59,999"
520,Scientist,female,"$80,000 - $99,999"
521,,male,"$20,000 - $39,999"
522,Analyst,male,"$40,000 - $59,999"
523,Scientist,male,"$160,000 - $179,999"
524,Analyst,male,"$140,000 - $159,999"
525,Leadership,male,"$100,000 - $119,999"
526,Engineer,male,"$120,000 - $139,999"
527,,male,"$20,000 - $39,999"
528,Leadership,male,"$140,000 - $159,999"
529,Leadership,male,"$180,000 - $199,999"
530,Designer,female,"$80,000 - $99,999"
531,Analyst,female,"$20,000 - $39,999"
532,Scientist,female,"$60,000 - $79,999"
533,Analyst,male,"$100,000 - $119,999"
534,Leadership,female,"$120,000 - $139,999"
535,Journalist,male,"$120,000 - $139,999"
536,Designer,male,"$80,000 - $99,999"
537,Journalist,male,"$100,000 - $119,999"
538,Other,female,"$80,000 - $99,999"
539,Leadership,female,"$200,000 - $219,999"
540,,male,"$40,000 - $59,999"
541,Leadership,self-described,"$120,000 - $139,999"
542,,male,"$160,000 - $179,999"
543,,female,"$80,000 - $99,999"
544,,male,"$60,000 - $79,999"
545,,female,"$140,000 - $159,999"
546,Designer,male,"$80,000 - $99,999"
547,Leadership,male,"$60,000 - $79,999"
548,Engineer,female,"$100,000 - $119,999"
549,Analyst,male,"$120,000 - $139,999"
550,Leadership,male,"$140,000 - $159,999"
551,Analyst,male,"$80,000 - $99,999"
552,Leadership,male,"$140,000 - $159,999"
553,Analyst,male,"$60,000 - $79,999"
554,Analyst,female,"$60,000 - $79,999"
555,Leadership,male,"$80,000 - $99,999"
556,Developer,female,"$100,000 - $119,999"
557,Developer,male,"$60,000 - $79,999"
558,Analyst,female,"$80,000 - $99,999"
559,Leadership,female,"$120,000 - $139,999"
560,Analyst,female,"$40,000 - $59,999"
561,Analyst,female,"$60,000 - $79,999"
562,Developer,male,"$100,000 - $119,999"
563,Analyst,female,"$40,000 - $59,999"
564,Analyst,female,"$60,000 - $79,999"
565,Analyst,female,"$80,000 - $99,999"
566,Leadership,male,"$100,000 - $119,999"
567,Scientist,prefer not to say,"$160,000 - $179,999"
568,Analyst,female,"$100,000 - $119,999"
569,Analyst,self-described,"$60,000 - $79,999"
570,Analyst,female,"$60,000 - $79,999"
571,Analyst,male,"$120,000 - $139,999"
572,Other,self-described,"$80,000 - $99,999"
573,Leadership,male,"$240,000 or more"
574,Leadership,male,"$200,000 - $219,999"
575,Leadership,female,"$200,000 - $219,999"
576,Designer,female,"$60,000 - $79,999"
577,Developer,female,"$80,000 - $99,999"
578,Journalist,male,"$80,000 - $99,999"
579,Analyst,female,"$100,000 - $119,999"
580,Analyst,female,"$40,000 - $59,999"
581,Engineer,male,"$100,000 - $119,999"
582,Analyst,female,"$80,000 - $99,999"
583,Developer,male,"$80,000 - $99,999"
584,Leadership,female,"$120,000 - $139,999"
585,Designer,female,"$60,000 - $79,999"
586,Scientist,female,"$120,000 - $139,999"
587,Designer,female,"$140,000 - $159,999"
588,Engineer,male,"$240,000 or more"
589,Developer,male,"$100,000 - $119,999"
590,Analyst,female,"$100,000 - $119,999"
591,Leadership,male,"$140,000 - $159,999"
592,Other,female,"$40,000 - $59,999"
593,Designer,male,"$80,000 - $99,999"
594,Leadership,female,"$80,000 - $99,999"
595,Analyst,female,"$80,000 - $99,999"
596,Journalist,male,"$120,000 - $139,999"
597,Analyst,male,"$40,000 - $59,999"
598,Journalist,female,"$100,000 - $119,999"
599,Leadership,female,"$100,000 - $119,999"
600,Designer,male,"$120,000 - $139,999"
601,Leadership,male,"$240,000 or more"
602,Journalist,female,"$60,000 - $79,999"
603,Analyst,female,"$80,000 - $99,999"
604,Designer,female,"$180,000 - $199,999"
605,Analyst,male,"$60,000 - $79,999"
606,Leadership,male,"$140,000 - $159,999"
607,Journalist,male,"$60,000 - $79,999"
608,Leadership,female,"$160,000 - $179,999"
609,Leadership,male,"$120,000 - $139,999"
610,Analyst,male,"$160,000 - $179,999"
611,Developer,female,"$120,000 - $139,999"
612,,female,"$60,000 - $79,999"
613,Analyst,male,"$80,000 - $99,999"
614,Designer,female,"$40,000 - $59,999"
615,Engineer,male,"$240,000 or more"
616,Developer,female,"$100,000 - $119,999"
617,Designer,male,"$100,000 - $119,999"
618,Developer,female,"$80,000 - $99,999"
619,Analyst,female,"$120,000 - $139,999"
620,Leadership,self-described,"$60,000 - $79,999"
621,,male,"$120,000 - $139,999"
622,Leadership,male,"$180,000 - $199,999"
623,Analyst,male,"$60,000 - $79,999"
624,Leadership,prefer not to say,"$240,000 or more"
625,,female,"$10,000 - $19,999"
626,Designer,female,"$120,000 - $139,999"
627,,male,"$60,000 - $79,999"
628,,male,"$180,000 - $199,999"
629,,male,"$20,000 - $39,999"
630,,female,"$180,000 - $199,999"
631,Scientist,male,"$160,000 - $179,999"
632,,male,"$100,000 - $119,999"
633,,male,"$200,000 - $219,999"
634,,male,"$20,000 - $39,999"
635,,female,"$80,000 - $99,999"
636,Leadership,male,"$160,000 - $179,999"
637,Analyst,male,"$40,000 - $59,999"
638,Analyst,male,"$80,000 - $99,999"
639,Analyst,female,"$200,000 - $219,999"
640,Analyst,male,"$120,000 - $139,999"
641,Developer,male,"$80,000 - $99,999"
642,Analyst,male,"$60,000 - $79,999"
643,Analyst,female,"$60,000 - $79,999"
644,Analyst,male,"$40,000 - $59,999"
645,Analyst,female,"$100,000 - $119,999"
646,Analyst,female,"$80,000 - $99,999"
647,Leadership,female,"$180,000 - $199,999"
648,Developer,female,"$80,000 - $99,999"
649,Analyst,female,"$120,000 - $139,999"
